conectado|voltagem|temperatura|ruido|ativacao
0|26000|109000|-88000|0
0|40000|548000|-66000|0
0|40000|58000|98000|0
0|33000|39000|-73000|0
1000|37000|-58000|-89000|0
1000|45000|-93000|-16000|0
1000|44000|-23000|13000|0
1000|45000|375000|-48000|0
0|31000|-81000|-7000|0
1000|27000|112000|91000|1
0|38000|511000|69000|0
1000|32000|170000|-30000|1
0|45000|354000|89000|0
0|41000|579000|-46000|0
1000|37000|89000|62000|1
0|40000|-36000|-79000|0
1000|32000|94000|66000|1
0|25000|205000|49000|0
0|30000|-86000|-10000|0
1000|42000|493000|78000|0
0|37000|97000|-41000|0
0|43000|63000|36000|0
0|36000|462000|-67000|0
1000|26000|333000|-99000|1
0|41000|433000|77000|0
0|43000|85000|-13000|0
0|30000|469000|-23000|0
1000|27000|287000|-40000|1
0|31000|309000|89000|0
1000|25000|250000|98000|1
1000|30000|313000|41000|1
1000|42000|459000|12000|0
1000|42000|423000|-39000|1
0|30000|373000|53000|0
0|34000|443000|-38000|0
0|30000|369000|47000|0
0|25000|339000|92000|0
0|28000|215000|-29000|0
1000|29000|241000|17000|1
1000|41000|313000|-90000|1
1000|27000|432000|96000|1
0|26000|71000|14000|0
1000|31000|13000|-83000|1
1000|42000|214000|75000|1
1000|36000|-52000|-46000|0
0|41000|-44000|61000|0
0|30000|449000|-31000|0
1000|42000|84000|-91000|1
0|28000|447000|66000|0
1000|41000|95000|-70000|1
0|38000|-58000|7000|0
0|42000|209000|74000|0
1000|40000|426000|5000|1
0|30000|365000|32000|0
1000|32000|220000|52000|1
0|30000|272000|8000|0
1000|27000|41000|87000|1
0|32000|164000|84000|0
0|39000|512000|79000|0
1000|26000|374000|11000|1
1000|33000|311000|89000|1
0|45000|473000|15000|0
1000|32000|155000|-28000|1
0|44000|412000|-99000|0
0|45000|63000|87000|0
0|36000|298000|-37000|0
0|41000|45000|23000|0
0|32000|91000|-69000|0
1000|35000|556000|83000|0
1000|26000|201000|-61000|1
1000|25000|14000|-17000|1
1000|41000|-45000|88000|0
1000|41000|180000|-8000|1
1000|31000|41000|98000|1
0|35000|590000|-85000|0
1000|30000|190000|35000|1
1000|25000|21000|-19000|1
1000|44000|411000|-5000|0
1000|41000|156000|13000|1
1000|28000|119000|42000|1
0|39000|38000|42000|0
1000|40000|-50000|-34000|0
0|27000|475000|-95000|0
0|38000|59000|37000|0
1000|41000|93000|33000|1
1000|39000|215000|95000|1
1000|29000|341000|56000|1
0|44000|392000|-60000|0
1000|32000|250000|92000|1
0|45000|439000|89000|0
1000|31000|-3000|-86000|0
0|33000|462000|-80000|0
0|35000|509000|89000|0
1000|39000|436000|76000|1
0|40000|471000|-42000|0
0|36000|-31000|-95000|0
0|43000|449000|50000|0
0|43000|249000|-91000|0
0|29000|570000|-4000|0
0|42000|171000|-91000|0
0|28000|435000|11000|0
1000|42000|160000|-44000|1
0|40000|103000|-8000|0
0|33000|311000|-90000|0
1000|39000|-48000|2000|0
0|34000|61000|-33000|0
1000|34000|343000|43000|1
0|26000|414000|-19000|0
0|27000|247000|-36000|0
1000|26000|103000|-88000|1
0|43000|-63000|-64000|0
1000|31000|152000|29000|1
0|34000|104000|88000|0
1000|41000|250000|-63000|1
0|43000|68000|-76000|0
0|38000|563000|-89000|0
0|34000|18000|13000|0
1000|44000|124000|87000|0
1000|37000|91000|-64000|1
1000|29000|-92000|-2000|0
0|43000|110000|20000|0
0|39000|-7000|-58000|0
0|35000|-21000|92000|0
1000|29000|295000|-11000|1
1000|25000|-20000|-42000|0
1000|35000|-67000|-28000|0
0|40000|-53000|86000|0
0|36000|481000|-95000|0
0|31000|388000|-7000|0
0|29000|290000|57000|0
0|29000|385000|51000|0
0|31000|485000|21000|0
0|40000|140000|-96000|0
1000|35000|192000|92000|1
0|45000|256000|31000|0
0|41000|409000|57000|0
0|32000|298000|100000|0
1000|34000|8000|-13000|1
1000|29000|14000|55000|1
1000|37000|65000|30000|1
1000|42000|511000|-70000|0
0|44000|145000|-84000|0
0|29000|89000|-24000|0
1000|32000|404000|25000|1
0|38000|49000|-64000|0
0|35000|534000|82000|0
1000|29000|-36000|8000|0
0|33000|-9000|-48000|0
1000|38000|447000|-96000|1
1000|34000|507000|37000|0
0|25000|120000|57000|0
0|31000|85000|-94000|0
1000|34000|397000|-62000|1
0|27000|220000|48000|0
1000|26000|452000|82000|0
0|44000|181000|36000|0
1000|44000|-67000|-79000|0
1000|31000|109000|-8000|1
1000|37000|436000|-37000|1
0|36000|409000|37000|0
1000|29000|575000|-13000|0
0|36000|470000|79000|0
0|28000|63000|-82000|0
1000|41000|103000|42000|1
0|36000|509000|-41000|0
1000|44000|80000|35000|0
0|41000|378000|-100000|0
1000|32000|-5000|97000|0
1000|26000|475000|76000|0
0|39000|-83000|-91000|0
0|42000|338000|-64000|0
1000|26000|139000|-10000|1
0|33000|492000|70000|0
1000|44000|374000|7000|0
0|32000|18000|0|0
1000|36000|186000|-31000|1
1000|31000|303000|56000|1
1000|27000|487000|32000|0
0|26000|452000|-100000|0
0|42000|40000|-26000|0
0|34000|490000|-76000|0
1000|42000|550000|14000|0
0|40000|534000|-84000|0
1000|36000|426000|66000|1
0|37000|401000|-70000|0
1000|32000|23000|9000|1
1000|42000|23000|13000|1
1000|30000|558000|-3000|0
0|45000|17000|38000|0
1000|36000|460000|50000|0
1000|39000|-93000|-27000|0
0|38000|-35000|-62000|0
1000|29000|217000|83000|1
0|32000|142000|-83000|0
0|30000|153000|54000|0
1000|29000|10000|-54000|1
1000|33000|-42000|-19000|0
0|39000|110000|-25000|0
1000|38000|14000|69000|1
0|32000|263000|-49000|0
1000|42000|420000|-55000|1
1000|27000|-96000|-56000|0
0|30000|333000|-12000|0
1000|31000|396000|88000|1
1000|42000|496000|-2000|0
1000|35000|139000|39000|1
1000|27000|206000|-94000|1
1000|29000|295000|-60000|1
1000|29000|-54000|-20000|0
1000|33000|-59000|-45000|0
